product_id,company_id,company_name,product_type,original_sku,clean_sku
150,1,21st Century,raw-material,RM-C1-calcium-citrate-05c28cc3,calcium-citrate
151,1,21st Century,raw-material,RM-C1-cellulose-594d4ce6,cellulose
152,1,21st Century,raw-material,RM-C1-croscarmellose-sodium-ba050b0c,croscarmellose-sodium
153,1,21st Century,raw-material,RM-C1-magnesium-silicate-6045d1ce,magnesium-silicate
154,1,21st Century,raw-material,RM-C1-magnesium-stearate-fdedf242,magnesium-stearate
155,1,21st Century,raw-material,RM-C1-polyethylene-glycol-53cc28ba,polyethylene-glycol
156,1,21st Century,raw-material,RM-C1-polyvinyl-alcohol-ebfeea56,polyvinyl-alcohol
157,1,21st Century,raw-material,RM-C1-stearic-acid-9a014700,stearic-acid
158,1,21st Century,raw-material,RM-C1-titanium-dioxide-e460a12c,titanium-dioxide
159,1,21st Century,raw-material,RM-C1-vitamin-d3-cholecalciferol-67efce0f,vitamin-d3-cholecalciferol
160,2,ALL ONE,raw-material,RM-C2-ascorbic-acid-4823fabf,ascorbic-acid
161,2,ALL ONE,raw-material,RM-C2-beta-carotene-bb90cd60,beta-carotene
164,2,ALL ONE,raw-material,RM-C2-choline-bitartrate-296d4da4,choline-bitartrate
165,2,ALL ONE,raw-material,RM-C2-cyanocobalamin-c2d9669b,cyanocobalamin
166,2,ALL ONE,raw-material,RM-C2-d-alpha-tocopheryl-succinate-532e67fd,d-alpha-tocopheryl-succinate
167,2,ALL ONE,raw-material,RM-C2-d-calcium-pantothenate-bc49e976,d-calcium-pantothenate
168,2,ALL ONE,raw-material,RM-C2-hesperidin-complex-a26e0bcd,hesperidin-complex
169,2,ALL ONE,raw-material,RM-C2-inositol-a10dfe66,inositol
170,2,ALL ONE,raw-material,RM-C2-lemon-bioflavonoid-complex-0eeb9802,lemon-bioflavonoid-complex
172,2,ALL ONE,raw-material,RM-C2-manganese-2947a710,manganese
173,2,ALL ONE,raw-material,RM-C2-niacinamide-c27eb0fe,niacinamide
174,2,ALL ONE,raw-material,RM-C2-para-amino-benzoic-acid-b19c9ed7,para-amino-benzoic-acid
175,2,ALL ONE,raw-material,RM-C2-potassium-alginate-ab91bdcc,potassium-alginate
177,2,ALL ONE,raw-material,RM-C2-pyridoxine-hcl-0a843bcb,pyridoxine-hcl
178,2,ALL ONE,raw-material,RM-C2-riboflavin-a3d02436,riboflavin
179,2,ALL ONE,raw-material,RM-C2-rice-bran-1f905661,rice-bran
180,2,ALL ONE,raw-material,RM-C2-rice-protein-c17ff51d,rice-protein
181,2,ALL ONE,raw-material,RM-C2-rutin-e29ccf19,rutin
182,2,ALL ONE,raw-material,RM-C2-soy-lecithin-cc38c49d,soy-lecithin
183,2,ALL ONE,raw-material,RM-C2-thiamine-hcl-a714a4bf,thiamine-hcl
184,2,ALL ONE,raw-material,RM-C2-vitamin-a-palmitate-58b26912,vitamin-a-palmitate
186,3,AN PERFORMANCE,raw-material,RM-C3-citric-acid-6f4f6850,citric-acid
187,3,AN PERFORMANCE,raw-material,RM-C3-maltodextrin-9e221e16,maltodextrin
188,3,AN PERFORMANCE,raw-material,RM-C3-orange-flavor-10a9b501,orange-flavor
189,3,AN PERFORMANCE,raw-material,RM-C3-potassium-a7e6389c,potassium
190,3,AN PERFORMANCE,raw-material,RM-C3-sodium-bd233043,sodium
191,3,AN PERFORMANCE,raw-material,RM-C3-sugar-ef04e1fd,sugar
192,4,AlkemyPower,raw-material,RM-C4-calcium-c77f1de7,calcium
193,4,AlkemyPower,raw-material,RM-C4-magnesium-7058dcb8,magnesium
194,4,AlkemyPower,raw-material,RM-C4-potassium-4fd2e03c,potassium
196,5,Aloha,raw-material,RM-C5-blue-agave-inulin-b9f21209,blue-agave-inulin
197,5,Aloha,raw-material,RM-C5-brown-rice-protein-f2127b74,brown-rice-protein
198,5,Aloha,raw-material,RM-C5-cinnamon-28c1b925,cinnamon
199,5,Aloha,raw-material,RM-C5-coconut-sugar-72cdee92,coconut-sugar
200,5,Aloha,raw-material,RM-C5-ground-vanilla-beans-51d15fb4,ground-vanilla-beans
201,5,Aloha,raw-material,RM-C5-hemp-seed-protein-8695d4e3,hemp-seed-protein
202,5,Aloha,raw-material,RM-C5-medium-chain-triglycerides-mct-from-coconut-oil-69d4233c,medium-chain-triglycerides-mct-from-coconut-oil
203,5,Aloha,raw-material,RM-C5-monk-fruit-extract-a8190686,monk-fruit-extract
204,5,Aloha,raw-material,RM-C5-natural-flavor-177a6a66,natural-flavor
205,5,Aloha,raw-material,RM-C5-pea-protein-4369ae6b,pea-protein
206,5,Aloha,raw-material,RM-C5-pumpkin-seed-protein-e4230ea3,pumpkin-seed-protein
207,5,Aloha,raw-material,RM-C5-xanthan-gum-7ff5328f,xanthan-gum
208,6,Animal,raw-material,RM-C6-acesulfame-potassium-72a88908,acesulfame-potassium
209,6,Animal,raw-material,RM-C6-artificial-flavor-abc70ce1,artificial-flavor
